CaseNbr	Category	latitude	longitude	time
1203879	SERVICE	34.033737	-118.284975	735158.461806
1203893	SERVICE	34.021364	-118.286433	735159.347222
1203912	SERVICE	34.032028	-118.290133	735160.132639
1203914	SERVICE	34.019871	-118.286099	735159.708333
1203929	SERVICE	34.030250	-118.282630	735160.819444
1302509	NARCOTICS	34.025060	-118.286461	735411.134722
1302532	FIRE	34.030426	-118.281857	735412.895833
1302554	WARRANT	34.018303	-118.283409	735414.746528
1302645	NARCOTICS	34.022083	-118.281584	735423.620833
1302660	NARCOTICS	34.024630	-118.285635	735424.809028
1302668	VEHICLE CODE	34.062935	-118.201393	735425.588194
1302691	NARCOTICS	34.034942	-118.283432	735426.899306
1302728	WARRANT	34.025646	-118.296234	735431.524306
1302732	NARCOTICS	34.026130	-118.277130	735431.852778
1302813	THEFT-PETTY	34.022994	-118.285608	735434.500000
1302821	VEHICLE CODE	34.020407	-118.282071	735434.041667
1302831	VEHICLE CODE	34.024789	-118.289427	735439.527778
1302836	NARCOTICS	34.027108	-118.276697	735439.738194
1302896	NARCOTICS	34.027390	-118.280440	735445.797917
1302920	FIRE	34.028364	-118.288823	735447.916667
1303079	VEHICLE CODE	34.018303	-118.283409	735463.763889
1303087	WEAPONS	34.030897	-118.300209	735464.687500
1303105	ARSON	34.032052	-118.287632	735466.030556
1303128	TRAFFIC	34.019351	-118.282112	735467.743056
1303145	NARCOTICS	34.026346	-118.255092	735468.944444
1303221	NARCOTICS	34.018337	-118.289181	735473.069444
1303222	NARCOTICS	34.033279	-118.279698	735472.975694
1303239	SERVICE	34.012935	-118.257468	735473.770833
1303271	VEHICLE CODE	34.025646	-118.296234	735475.937500
1303274	VEHICLE CODE	34.027432	-118.287786	735476.107639
1303342	VEHICLE CODE	34.018303	-118.283409	735480.694444
1400922	SERVICE	34.021475	-118.282179	735668.972222
1400947	SERVICE	34.020230	-118.290650	735670.500694
1400973	SERVICE	34.023991	-118.286299	735672.479167
1400988	SERVICE	34.021817	-118.279977	735673.444444
1400996	SERVICE	34.019920	-118.280504	735673.937500
1401007	THEFT-GRAND PERSON	34.021935	-118.280085	735674.680556
1401043	SERVICE	34.020289	-118.290330	735678.681250
1401055	SERVICE	34.026672	-118.284165	735679.566667
1401068	SERVICE	34.021571	-118.283749	735680.708333
1401073	SERVICE	0.000000	-0.000000	735681.579861
1401075	SERVICE	34.021103	-118.281659	735681.593750
1401077	SERVICE	34.023890	-118.288746	735681.788889
1401081	SERVICE	34.027540	-118.280960	735677.791667
1401089	VANDALISM	34.023115	-118.284308	735682.604167
1401123	VANDALISM	34.025646	-118.296234	735685.127083
1401152	ASSAULT	34.026400	-118.278300	735687.054861
1401172	SERVICE	34.020965	-118.285538	735688.024306
1401220	SERVICE	34.018303	-118.283409	735691.354167
1401223	SERVICE	34.019983	-118.282509	735691.451389
1401225	VANDALISM	34.026267	-118.288365	735679.069444
1401255	SERVICE	34.062052	-118.201433	735693.449306
1401295	SEX OFFENSE	34.024916	-118.288297	735695.979167
1401302	SERVICE	34.023890	-118.288746	735695.801389
1401313	SEX OFFENSE	0.000000	-0.000000	735693.583333
1401388	ASSAULT	34.024333	-118.283966	735700.968056
1401456	VANDALISM	34.019124	-118.287976	735704.541667
1401474	SERVICE	34.061416	-118.204854	735706.375000
1202673	WARRANT	34.024333	-118.283966	735091.815278
1202682	WARRANT	34.027920	-118.281650	735093.441667
1202683	VANDALISM	34.019871	-118.286099	735089.666667
1202687	WARRANT	34.026672	-118.284165	735093.826389
1202698	WARRANT	34.018303	-118.283409	735094.894444
1202699	WARRANT	34.117013	-118.291525	735095.100694
